～倍<div class="hint">～times; ～fold</div>,～ばい,～times; ～fold,<ruby>高<rt>たか</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>が <ruby>安<rt>やす</rt></ruby>い <ruby>車<rt>くるま</rt></ruby>の10 <ruby>倍<rt>ばい</rt></ruby>です。,An expensive car is 10X a cheap car.
そんなに<div class="hint">so much; like that</div>,そんなに,so much; like that,パリにそんなに <ruby>美味<rt>おい</rt></ruby>しいラーメンがありました？,Was there ramen that delicious in Paris?
タイプ<div class="hint">type; kind; style</div>,タイプ,type; kind; style,<ruby>山本<rt>やまもと</rt></ruby>さんはそんな <ruby>真面目<rt>まじめ</rt></ruby>なタイプの <ruby>人<rt>ひと</rt></ruby>ですね。,Mr. Yamamoto is that kind of serious person.
だから<div class="hint">so; therefore</div>,だから,so; therefore,<ruby>昨日<rt>きのう</rt></ruby>テレビであの <ruby>店<rt>みせ</rt></ruby>を <ruby>見<rt>み</rt></ruby>た。だから <ruby>今日<rt>きょう</rt></ruby> <ruby>行<rt>い</rt></ruby>ってみたい。,I saw that store on TV yesterday.  So; I wanted to try and go today.
たまに<div class="hint">occasionally; once in a while</div>,たまに,occasionally; once in a while,たまに <ruby>一日中<rt>いちにちじゅう</rt></ruby>ネットフィリックスを <ruby>見<rt>み</rt></ruby>てリラックスする。,Once in a while I watch Netflix all day and relax.
ダメ<div class="hint">no good</div>,だめ,no good,もっと <ruby>頑張<rt>がんば</rt></ruby>らないとダメですよ。,It is not good if you don't persevere harder.
チェック<div class="hint">check; look over</div>,チェック,check; look over,<ruby>間違<rt>まちが</rt></ruby>えがないようにチェックしてくれますか？,Will you check this for me so there are no errors?
チェックする<div class="hint">to check</div>,チェックする,to check,<ruby>毎日<rt>まいにち</rt></ruby> <ruby>天気<rt>てんき</rt></ruby> <ruby>予報<rt>よほう</rt></ruby>をチェックしています。,I check the weather report every day.
ちっとも<div class="hint">not at all</div>,ちっとも,not at all,さっき <ruby>起<rt>お</rt></ruby>きたからちっとも <ruby>眠<rt>ねむ</rt></ruby>くない。,I just woke up so I am not at all sleepy.
ちゃん<div class="hint">suffix for familiar person</div>,ちゃん,suffix for familiar person,ゆきちゃん、こっち <ruby>来<rt>き</rt></ruby>て。,Yuki; come here.
つもり<div class="hint">intention; plan</div>,つもり,intention; plan,<ruby>明日<rt>あした</rt></ruby>は <ruby>忙<rt>いそが</rt></ruby>しいからジムに <ruby>行<rt>い</rt></ruby>くつもりがないです。,I am busy tomorrow; so I have no intention of going to the gym.
テキスト<div class="hint">text; textbook</div>,テキスト,text; textbook,こんな <ruby>難<rt>むずか</rt></ruby>しいテキストがよくN1の <ruby>試験<rt>しけん</rt></ruby>にあります。,This kind of difficult text is often on the N1 test.
テニス<div class="hint">tennis</div>,テニス,tennis,<ruby>一<rt>いっ</rt></ruby> <ruby>回<rt>かい</rt></ruby> <ruby>田中<rt>たなか</rt></ruby>さんと <ruby>一緒<rt>いっしょ</rt></ruby>にテニスをやってみたい。,I want to try playing tennis with Tanaka-san once.
とうとう<div class="hint">finally; ultimately</div>,とうとう,finally; ultimately,<ruby>一所懸命<rt>いっしょけんめい</rt></ruby>に <ruby>頑張<rt>がんば</rt></ruby>ったのに、 <ruby>難<rt>むずか</rt></ruby>しすぎてとうとう <ruby>止<rt>や</rt></ruby>めてしまった。,I tried as hard as I could; but it was too difficult and I finally stopped.
どんどん<div class="hint">rapidly; steadily | one after the other</div>,どんどん,rapidly; steadily | one after the other,<ruby>台風<rt>たいふう</rt></ruby>が <ruby>近<rt>ちか</rt></ruby>づいたら、 <ruby>風<rt>かぜ</rt></ruby>がどんどん <ruby>強<rt>つよ</rt></ruby>くなります。,When the taiphoon approaches; the wind will become steadily stronger.
なかなか<div class="hint">very; considerably</div>,なかなか,very; considerably,それはなかなか <ruby>難<rt>むずか</rt></ruby>しい <ruby>質問<rt>しつもん</rt></ruby>ですね。,That is a very difficult problem.
なさる<div class="hint">(hon) to do</div>,なさる,(hon) to do,<ruby>明日<rt>あした</rt></ruby>どうなさいますか？,What will you do tomorrow?
なるべく<div class="hint">as much as possible; if at all possible</div>,なるべく,as much as possible; if at all possible,<ruby>宿題<rt>しゅくだい</rt></ruby>じゃないんですが、 <ruby>分<rt>わ</rt></ruby>かってほしいことなので <ruby>時間<rt>じかん</rt></ruby>があればなるべく <ruby>読<rt>よ</rt></ruby>んでください。,This is not homework; but I want you to understand it; so read it as much as possible if you have time.
なるほど<div class="hint">I see; of course; that's right</div>,なるほど,I see; of course; that's right,,
パート<div class="hint">part-time (work)</div>,パート,part-time (work),パートの <ruby>仕事<rt>しごと</rt></ruby>を <ruby>探<rt>さが</rt></ruby>します。,I will look for part-time work.
パソコン<div class="hint">personal computer</div>,パソコン,personal computer,パスコンが <ruby>古<rt>ふる</rt></ruby>いから <ruby>新<rt>あたら</rt></ruby>しいのは <ruby>欲<rt>ほ</rt></ruby>しい。,My PC is old; so I want a new one.
