詳しい<div class="hint">detailed; complete</div>,くわしい,detailed; complete,もっと <ruby>詳<rt>くわ</rt></ruby>しく <ruby>説明<rt>せつめい</rt></ruby>してください。,Please explain it in greater detail.,adjective
細い<div class="hint">thin; slender</div>,ほそい,thin; slender,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>指<rt>ゆび</rt></ruby>が <ruby>細<rt>ほそ</rt></ruby>いですね。,Her fingers are thin.,adjective
細かい<div class="hint">minute; detailed</div>,こまかい,minute; detailed,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>細<rt>こま</rt></ruby>かいことにうるさい。,She's fussy about small details.,adjective
載せる<div class="hint">place; put on</div>,のせる,place; put on,<ruby>皿<rt>さら</rt></ruby>にケーキを <ruby>載<rt>の</rt></ruby>せました。,I put the cake on a plate.,verb
ワイン<div class="hint">wine</div>,わいん,wine,ワインを <ruby>少<rt>すこ</rt></ruby>し <ruby>飲<rt>の</rt></ruby>みました。,I drank a little wine.,noun
気を付ける<div class="hint">be careful about; pay attention to</div>,きをつける,be careful about; pay attention to,<ruby>体<rt>からだ</rt></ruby>に <ruby>気<rt>き</rt></ruby>を <ruby>付<rt>つ</rt></ruby>けてください。,Please take care of yourself.,verb
残念<div class="hint">regretful; disappointing</div>,ざんねん,regretful; disappointing,その <ruby>試合<rt>しあい</rt></ruby>は <ruby>残念<rt>ざんねん</rt></ruby>な <ruby>結果<rt>けっか</rt></ruby>になった。,The result of the game was disappointing.,adjectival noun
例えば<div class="hint">for example</div>,たとえば,for example,<ruby>例<rt>たと</rt></ruby>えば、このソフトで <ruby>日本語<rt>にほんご</rt></ruby>を <ruby>勉強<rt>べんきょう</rt></ruby>することができます。,You can use this software to study Japanese; for example.,adverb
プール<div class="hint">pool</div>,ぷーる,pool,<ruby>私<rt>わたし</rt></ruby>は <ruby>夏休<rt>なつやす</rt></ruby>みにプールに <ruby>行<rt>い</rt></ruby>った。,I went to the pool during summer vacation.,noun
締める<div class="hint">tighten; fasten</div>,しめる,tighten; fasten,<ruby>彼<rt>かれ</rt></ruby>はシートベルトを <ruby>締<rt>し</rt></ruby>めた。,He fastened his seatbelt.,verb
